arquivo,razao_var,t_real,detectado,n_alarmes,score
37509232.ms,271.6,27.0,False,0,10.940505958149384
37509240.ms,112.8,11.5,False,0,2.4422844387961313
37509256.ms,177.1,37.5,False,0,2.1088319234859956
37509264.ms,230.6,30.0,False,0,1.5008442608649526
37509272.ms,306.3,25.0,False,0,3.9552136555841324
37509296.ms,355.6,42.5,False,0,1.12170506556672
37509304.ms,6.5,37.0,False,0,1.3914921856962692
37509320.ms,231.5,0.5,False,0,0.27449902611137816
37509328.ms,206.2,26.5,False,0,2.1474331340153996
37509336.ms,510.5,24.0,False,0,7.351585693623893
37509344.ms,4.6,17.5,False,0,0.8726872662618366
37509352.ms,340.1,16.0,False,0,4.353194362362804
37509368.ms,145.8,36.5,False,0,1.3048385842463786
37509376.ms,1654.9,12.5,False,0,3.984849890667112
37509384.ms,517.1,16.5,False,0,7.3560430001043695
37509392.ms,182.0,0.0,False,0,10.699418680328451
37509400.ms,127.9,13.5,False,0,5.4271016734393696
37509416.ms,2023.9,15.5,False,0,5.943395105307185
37509432.ms,475.2,13.5,False,0,11.87966016112241
37509440.ms,344.4,44.0,False,0,4.019838124081359
37509448.ms,44.8,16.0,False,0,2.3996652796087896
37509464.ms,43.3,13.5,False,0,3.5413587035606673
37509480.ms,165.9,33.0,False,0,1.8995301476456448
37509488.ms,80.5,36.0,False,0,1.3443235772205158
